hashtag,day_0_retweets,day_0_followers,day_0_occurences,day_0_weekday,day_0_month,day_0_day,day_0_modehour,day_0_avghour,day_1_retweets,day_1_followers,day_1_occurences,day_1_weekday,day_1_month,day_1_day,day_1_modehour,day_1_avghour,day_2_retweets,day_2_followers,day_2_occurences,day_2_weekday,day_2_month,day_2_day,day_2_modehour,day_2_avghour,day_3_retweets,day_3_followers,day_3_occurences,day_3_weekday,day_3_month,day_3_day,day_3_modehour,day_3_avghour,day_4_retweets,day_4_followers,day_4_occurences,day_4_weekday,day_4_month,day_4_day,day_4_modehour,day_4_avghour,day_5_retweets,day_5_followers,day_5_occurences,day_5_weekday,day_5_month,day_5_day,day_5_modehour,day_5_avghour,ids
방탄소년단진,12936,69294,165,5,10,13,16,12.27710843373494,24585,80581,189,6,10,14,16,17.38421052631579,36730,170840,460,0,10,15,15,9.806941431670282,97312,162828,380,1,10,16,4,8.199475065616799,7123,43597,101,2,10,17,18,11.637254901960784,2129,40899,98,3,10,18,18,13.969696969696969,108
11oct,158958,91641051,594,5,10,13,20,21.09747899159664,141135,4132330,698,6,10,14,23,19.220314735336196,93364,607012,399,0,10,15,19,20.055,147048,669610,293,1,10,16,14,17.459183673469386,167477,4145462,718,2,10,17,19,14.613351877607789,141502,3340948,372,3,10,18,15,14.386058981233244,271
WakeUpAmerica,346635,14442289,1635,5,10,13,16,12.1619804400978,112525,1378360,187,6,10,14,22,21.319148936170212,27856,1338558,192,0,10,15,21,20.922279792746114,2104,348227,92,1,10,16,23,22.397849462365592,96918,6263995,499,2,10,17,23,21.628,70163,988916,100,3,10,18,23,22.77227722772277,81
80s,6477,288671,86,5,10,13,23,22.724137931034484,3831,879743,85,6,10,14,23,22.732558139534884,16237,1433495,294,0,10,15,23,22.427118644067797,8093,1049612,188,1,10,16,23,22.513227513227513,1192,324532,77,2,10,17,23,22.705128205128204,5519,208616,80,3,10,18,23,22.71604938271605,82
保護,100081,411829,485,5,10,13,23,19.0761316872428,146299,405595,579,6,10,14,23,20.77413793103448,140122,542943,794,0,10,15,14,18.412578616352203,198004,733586,995,1,10,16,12,16.67269076305221,137811,629014,699,2,10,17,14,17.952857142857145,29125,218323,279,3,10,18,23,20.675,891
stencil,117,141327,76,5,10,13,12,13.805194805194805,166,164623,84,6,10,14,19,12.788235294117648,36,157470,60,0,10,15,18,11.459016393442623,95,172346,73,1,10,16,5,11.121621621621621,170,142704,87,2,10,17,7,11.181818181818182,137,167084,90,3,10,18,21,12.923076923076923,74
Brony,853,119319,76,5,10,13,23,22.272727272727273,3362,96444,75,6,10,14,23,22.25,1847,89109,81,0,10,15,22,22.121951219512194,2802,40873,63,1,10,16,23,22.15625,1788,115121,71,2,10,17,23,22.194444444444443,1837,102823,82,3,10,18,23,22.313253012048193,62
scarytrailer,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
rollCARDS,237,79856,77,5,10,13,2,10.243589743589743,524,31119,45,6,10,14,1,9.130434782608695,100,33471,20,0,10,15,1,8.666666666666666,162,28938,23,1,10,16,13,12.958333333333334,47,37425,21,2,10,17,18,14.954545454545455,102,18844,33,3,10,18,14,15.705882352941176,53
葛西不動産,0,5411,7,5,10,13,0,4.875,0,5411,7,6,10,14,0,4.875,0,5411,7,0,10,15,0,4.875,0,5411,7,1,10,16,0,4.875,0,5411,7,2,10,17,0,4.875,0,5411,7,3,10,18,0,4.875,7
OneMoreTime,12474171,4689432,3997,5,10,13,23,21.998499249624814,376121,178383,190,6,10,14,23,22.87958115183246,261957,82090,194,0,10,15,23,22.882051282051282,1610249,4959832,494,1,10,16,23,22.953535353535354,183183,30330,98,2,10,17,23,22.767676767676768,287074,75663,195,3,10,18,23,22.882653061224488,499
womenfashion,677,405147,157,5,10,13,15,12.854430379746836,837,243899,98,6,10,14,15,16.08080808080808,503,210743,96,0,10,15,16,14.56701030927835,631,408571,173,1,10,16,15,12.741379310344827,128,194359,88,2,10,17,17,17.53932584269663,1056,211345,93,3,10,18,20,17.882978723404257,146
LawAndOrderSVU,925,83129,79,5,10,13,0,13.375,770,152714,67,6,10,14,17,12.970588235294118,411,206103,51,0,10,15,15,12.673076923076923,253,63730,33,1,10,16,16,9.970588235294118,511,358580,54,2,10,17,3,10.709090909090909,501,223329,86,3,10,18,1,12.413793103448276,283
IRENE,336405,322287,299,5,10,13,23,22.716666666666665,1010977,388488,700,6,10,14,23,22.96718972895863,621091,309916,298,0,10,15,23,22.923076923076923,327254,151031,299,1,10,16,23,22.893333333333334,467420,219381,298,2,10,17,23,22.923076923076923,496472,474514,494,3,10,18,23,22.717171717171716,1998
ツムツムコイン,1735,333893,84,5,10,13,23,22.36470588235294,194,241759,65,6,10,14,23,22.166666666666668,571,316760,74,0,10,15,22,22.173333333333332,883,214046,69,1,10,16,23,22.228571428571428,648,441782,81,2,10,17,22,22.20731707317073,159,439977,65,3,10,18,23,22.196969696969695,98
กันอรรถพันธ์น่ารักกว่าที่คิด,26898,9641,99,5,10,13,23,22.77,383499,66855,493,6,10,14,23,22.074898785425102,13753,8492,54,0,10,15,23,22.581818181818182,53652,14044,189,1,10,16,23,22.61578947368421,121956,35015,367,2,10,17,23,20.793478260869566,247682,37792,294,3,10,18,23,22.122033898305084,96
HwangMinhyun,205346,66200,199,5,10,13,23,22.885,1036530,341116,994,6,10,14,23,22.074371859296484,652102,303640,798,0,10,15,23,21.909887359198997,152764,48212,191,1,10,16,23,22.880208333333332,77391,18437,99,2,10,17,23,22.77,491694,317184,697,3,10,18,23,21.638968481375358,193
アントマン,39520,116105,145,5,10,13,14,9.979452054794521,29333,71707,98,6,10,14,2,8.929292929292929,20907,107993,81,0,10,15,12,9.560975609756097,19296,141255,96,1,10,16,4,9.402061855670103,88649,581703,363,2,10,17,3,6.708791208791209,22303,36853,76,3,10,18,11,10.844155844155845,282
jumatberkah,8533,227841,63,5,10,13,17,19.125,5256,469843,58,6,10,14,16,15.474576271186441,7019,48799,38,0,10,15,14,15.025641025641026,4217,21757,29,1,10,16,14,14.766666666666667,795,89699,24,2,10,17,14,17.16,85094,1498261,599,3,10,18,23,22.961666666666666,897
GMITM,36,802,2,5,10,13,0,7.0,56,10338,3,6,10,14,19,14.75,967,7916989,158,0,10,15,4,6.289308176100629,870,20358250,236,1,10,16,5,5.248945147679325,2455,4664865,134,2,10,17,5,7.651851851851852,3455,7513299,294,3,10,18,6,6.020338983050848,260
香るエール,1615561,73618,269,5,10,13,1,8.192592592592593,546476,26473,119,6,10,14,14,9.866666666666667,309409,38216,107,0,10,15,10,10.00925925925926,171136,17106,68,1,10,16,15,8.985507246376812,145568,15988,60,2,10,17,13,10.655737704918034,196248,298689,178,3,10,18,23,18.910614525139664,299
VamosLosSeniors,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
unhackthevote,91630,398720,98,5,10,13,17,14.06060606060606,7694871,3432252,1969,6,10,14,16,18.356345177664974,5355168,2550151,1442,0,10,15,0,6.921690921690922,164839,530020,272,1,10,16,21,21.413919413919412,2436708,6632881,2332,2,10,17,1,10.45092156022289,1801057,6803248,2487,3,10,18,3,7.934485530546624,266
SeulGi,236150,37200,97,5,10,13,23,22.76530612244898,5930661,2995137,4592,6,10,14,17,19.321358589157413,3998227,3783702,3387,0,10,15,17,20.16469893742621,88054,53142,98,1,10,16,23,22.767676767676768,2827240,1616349,2088,2,10,17,23,19.357587362374343,1740587,431037,700,3,10,18,23,21.984308131241082,998
furrygoldendreamz,3,36,1,5,10,13,0,0.0,0,0,0,0,0,0,0,0.0,2,244,2,0,10,15,21,14.0,1,714,4,1,10,16,0,6.8,0,0,0,0,0,0,0,0.0,10,826,8,3,10,18,3,8.333333333333334,0
bogus,1752,106626,50,5,10,13,19,15.450980392156863,1368,43753,46,6,10,14,0,9.702127659574469,1219,433610,29,0,10,15,23,15.966666666666667,6651,1676841,95,1,10,16,0,5.385416666666667,216,102850,20,2,10,17,3,10.047619047619047,5,3911,10,3,10,18,22,10.727272727272727,34
방탄진,24143,95975,253,5,10,13,16,12.003937007874017,23641,89758,196,6,10,14,16,18.20304568527919,50853,212211,576,0,10,15,5,8.998266897746968,106416,247756,518,1,10,16,4,10.190751445086706,20594,105809,286,2,10,17,19,11.069686411149826,8331,81674,203,3,10,18,15,13.132352941176471,255
คังแดเนียล,663495,113279,399,5,10,13,23,22.8325,0,0,0,0,0,0,0,0.0,276957,61219,297,0,10,15,23,22.92281879194631,220302,80869,390,1,10,16,23,22.941176470588236,57945,6580,81,2,10,17,23,22.71951219512195,99108,64264,194,3,10,18,23,22.882051282051282,91
carnaviradio,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,378,179440,59,0,10,15,3,4.116666666666666,204,47348,41,1,10,16,3,4.666666666666667,208,57408,33,2,10,17,4,3.676470588235294,621,175618,57,3,10,18,4,4.706896551724138,63
Lullaby,10038821,1707168,3798,5,10,13,23,22.993945775204,2475726,347084,797,6,10,14,23,22.971177944862156,888984,177246,495,0,10,15,23,22.953629032258064,20208599,2880026,6899,1,10,16,23,22.53304347826087,2226034,359352,795,2,10,17,23,22.97110552763819,24387742,1069243,3400,3,10,18,23,22.993237283152013,6799
ليه_غيرتنا_الايام,3458,729504,46,5,10,13,15,11.446808510638299,777,170683,6,6,10,14,0,8.285714285714286,8,78,1,0,10,15,0,4.0,249,66857,7,1,10,16,20,15.25,453,211572,24,2,10,17,21,18.92,90,65689,2,3,10,18,21,14.0,4
RTで私を有名にして下さい,8567,92476,296,5,10,13,14,17.97979797979798,1888,44349,198,6,10,14,23,19.44221105527638,8090,84612,397,0,10,15,12,14.902010050251256,11495,201749,660,1,10,16,14,11.950075642965205,16347,233987,705,2,10,17,9,11.59915014164306,23627,232219,700,3,10,18,15,12.283880171184023,647
이삐사진전,35827478,2977915,4352,5,10,13,16,16.836664369400413,18866415,847335,2200,6,10,14,2,8.264425261244888,3540866,98660,346,0,10,15,0,9.61671469740634,261946966,7769453,17600,1,10,16,16,18.57542185103119,164992898,14857144,15499,2,10,17,23,22.510387096774192,26168850,1065552,2500,3,10,18,22,21.073170731707318,6717
動作,0,0,0,0,0,0,0,0.0,0,2526,1,6,10,14,0,3.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,365,3,2,10,17,0,6.5,0,361,1,3,10,18,0,4.0,0
이기자페스티벌,32270,11176,50,5,10,13,16,17.49019607843137,116275,336794,399,6,10,14,22,21.7225,1930703,1856370,592,0,10,15,23,21.188870151770658,3504182,870814,1219,1,10,16,0,6.908196721311476,535895,62323,173,2,10,17,3,8.994252873563218,299832,127179,202,3,10,18,15,9.532019704433498,97
あなたに聞いてはいけないこと,21694,188906,256,5,10,13,0,8.023346303501945,18790,89660,113,6,10,14,13,9.929824561403509,5298,44093,49,0,10,15,1,8.38,5324,79236,77,1,10,16,6,10.833333333333334,2784,36305,44,2,10,17,0,6.844444444444444,4628,55869,72,3,10,18,8,9.054794520547945,50
WeTheBestRadio,222,4813,10,5,10,13,22,11.727272727272727,871,45062,22,6,10,14,20,13.826086956521738,210,698,5,0,10,15,21,17.5,48,10,1,1,10,16,0,5.5,531,1340,15,2,10,17,22,18.8125,10,1105,1,3,10,18,0,7.0,0
C94,476401,42159,54,5,10,13,13,15.727272727272727,222789,41357,59,6,10,14,15,15.683333333333334,127072,79440,72,0,10,15,15,15.575342465753424,156103,79286,71,1,10,16,11,13.48611111111111,49387,43296,56,2,10,17,15,13.56140350877193,262940,1005489,59,3,10,18,14,17.083333333333332,71
김동완,1512051,1410238,4399,5,10,13,14,14.755454545454546,91334,210320,700,6,10,14,23,21.393723252496432,401526,768960,3192,0,10,15,14,14.988412151581585,498445,790988,3613,1,10,16,14,10.403154399557277,357225,536977,2420,2,10,17,14,11.566707971912432,352491,565986,2475,3,10,18,0,9.543618739903069,2505
1mmでもいいなと思ったらRT,2097,20854,56,5,10,13,23,22.596491228070175,1638,40216,66,6,10,14,23,22.65671641791045,1848,17871,65,0,10,15,23,22.651515151515152,360,21076,56,1,10,16,23,22.596491228070175,2444,30961,63,2,10,17,23,22.640625,2744,14571,52,3,10,18,23,22.566037735849058,66
NBTSTourPortoAlegre,446825,1533038,697,5,10,13,22,17.87106017191977,216958,1194201,492,6,10,14,1,10.263691683569979,98107,446585,215,0,10,15,4,8.49074074074074,52799,470900,125,1,10,16,0,11.682539682539682,27709,168800,107,2,10,17,13,8.157407407407407,7948,56211,23,3,10,18,0,7.125,27
서울마사지,0,194,298,5,10,13,8,7.94314381270903,0,0,0,0,0,0,0,0.0,0,180,48,0,10,15,9,8.571428571428571,66,271,71,1,10,16,1,3.125,2,0,6,2,10,17,11,10.571428571428571,2,9,4,3,10,18,12,9.2,2
Inspiration,3592,4856037,198,5,10,13,23,22.884422110552762,54304,15593518,797,6,10,14,23,22.57769423558897,70963,14140865,1799,0,10,15,21,21.497222222222224,37270,3438259,583,1,10,16,23,22.65068493150685,240621,18673303,1689,2,10,17,21,21.863313609467454,3398,1789048,97,3,10,18,23,22.76530612244898,199
ficanadja,31222,170181,98,5,10,13,21,20.98989898989899,184668,423630,210,6,10,14,1,10.862559241706162,52681,390356,168,0,10,15,21,21.337278106508876,577183,512213,415,1,10,16,2,6.793269230769231,179099,99226,97,2,10,17,4,10.83673469387755,101624,57905,68,3,10,18,2,10.623188405797102,157
NeverStop,29842,249172,201,5,10,13,0,10.396039603960396,18990,397631,162,6,10,14,16,14.239263803680982,3022,325969,137,0,10,15,19,12.681159420289855,2588,1082890,109,1,10,16,14,11.527272727272727,66245,1520627,272,2,10,17,17,16.476190476190474,25234,104199,97,3,10,18,20,20.346938775510203,166
men,124,81711,42,5,10,13,23,22.46511627906977,57,336375,59,6,10,14,23,22.333333333333332,184,90330,54,0,10,15,23,22.527272727272727,145,112351,44,1,10,16,23,22.488888888888887,243,232235,57,2,10,17,23,22.603448275862068,213,304919,59,3,10,18,23,22.616666666666667,71
saida_ponte,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
MSKE2018,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,23,106764,12,1,10,16,20,18.46153846153846,0,78,1,2,10,17,0,7.5,0,78,1,3,10,18,0,7.5,0
pitchwars,5685,716315,344,5,10,13,0,10.597101449275362,1453,302013,162,6,10,14,17,13.085889570552148,4465,479198,218,0,10,15,19,12.91324200913242,10244,703026,261,1,10,16,22,14.16030534351145,7066,703182,271,2,10,17,18,12.194852941176471,5097,559141,207,3,10,18,20,12.865384615384615,159
philpop2018,110,15165,55,5,10,13,4,5.25,12,515,3,6,10,14,0,7.0,28,1036,6,0,10,15,23,11.142857142857142,25,646,6,1,10,16,6,7.714285714285714,66,29551,10,2,10,17,14,11.909090909090908,433,25281037,151,3,10,18,14,14.289473684210526,54
EcoGEmerald,0,0,0,0,0,0,0,0.0,2,12,1,6,10,14,0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
홍성캠퍼스,82,688,2,5,10,13,0,3.0,5459,23184,53,6,10,14,12,14.092592592592593,2472,19707,24,0,10,15,15,9.08,206,271,2,1,10,16,0,2.0,309,1894,3,2,10,17,16,12.0,412,541,4,3,10,18,10,12.2,1
MINA,1798591,1706736,3100,5,10,13,14,16.619155111254432,1371792,1259423,1796,6,10,14,17,18.00445186421814,1090112,1325869,1498,0,10,15,16,18.257505003335556,60311,47679,93,1,10,16,23,22.75531914893617,45156,28953,72,2,10,17,23,22.684931506849313,17123,40431,66,3,10,18,23,22.64179104477612,68
정해인,37428,977129,996,5,10,13,12,13.933801404212637,11258,103859,299,6,10,14,15,14.7,61769,666575,883,0,10,15,1,9.116515837104073,23206,197098,387,1,10,16,2,8.146907216494846,387434,485219,495,2,10,17,7,10.5625,45792,17557,72,3,10,18,6,10.150684931506849,119
KallysMashupNick,0,10992,93,5,10,13,23,22.75531914893617,0,30204,199,6,10,14,23,22.885,5,8099,90,0,10,15,23,22.747252747252748,0,34165,197,1,10,16,23,22.883838383838384,0,94392,678,2,10,17,23,22.966126656848306,134,275581,1186,3,10,18,23,22.508003369839933,8400
WildWednesdays,0,848,1,5,10,13,0,9.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,7981,8,2,10,17,13,12.777777777777779,1,9578,2,3,10,18,0,7.333333333333333,0
Y,90558,322334,507,5,10,13,9,11.131889763779528,126568,542443,1094,6,10,14,15,16.62648401826484,14205,69144,192,0,10,15,19,20.16062176165803,9163368,2894061,3393,1,10,16,15,16.323806717737185,4231729,1694097,2699,2,10,17,15,17.102592592592593,657395,460773,899,3,10,18,15,16.90888888888889,2699
kidlit,4186,2637555,198,5,10,13,23,21.768844221105528,153534,16163368,1292,6,10,14,16,16.71152358855375,41552,9263431,696,0,10,15,20,19.530846484935438,42074,25035739,1399,1,10,16,16,16.62,38897,20798411,1595,2,10,17,17,15.240601503759398,7276,4452378,297,3,10,18,20,21.201342281879196,200
AnneFrank,2424,56788,35,5,10,13,16,11.555555555555555,5622,177384,81,6,10,14,14,15.792682926829269,1664,304099,68,0,10,15,9,13.391304347826088,1235,121533,57,1,10,16,10,11.96551724137931,1015,191109,57,2,10,17,10,12.413793103448276,852,94351,32,3,10,18,7,11.272727272727273,65
AHSApocalypse,3813886,4065996,3183,5,10,13,20,20.531092964824122,737198,642825,698,6,10,14,22,22.175965665236053,732517,318557,396,0,10,15,23,22.94206549118388,1735362,3586168,1398,1,10,16,23,22.441029306647607,16502758,33221581,6494,2,10,17,22,21.759507313317936,4826259,8411269,3198,3,10,18,23,22.974679587371053,995
missAmericanPie1,135053,6196506,518,5,10,13,23,8.67437379576108,71283,3384517,300,6,10,14,4,9.544850498338871,13474,506447,56,0,10,15,5,9.947368421052632,25734,917259,67,1,10,16,5,11.235294117647058,42888,2397879,198,2,10,17,23,19.894472361809044,153813,6481283,598,3,10,18,22,18.4440734557596,197
文庫ページメーカー,250,14303,52,5,10,13,14,12.49056603773585,372,22812,72,6,10,14,14,11.123287671232877,204,17193,53,0,10,15,12,11.907407407407407,152,20562,37,1,10,16,13,12.18421052631579,338,15636,50,2,10,17,3,9.392156862745098,280,15134,58,3,10,18,9,12.983050847457626,78
V,69873353,14142935,16100,5,10,13,23,22.99254704676728,3953831,442317,697,6,10,14,23,22.96704871060172,114313555,13207094,17300,0,10,15,23,21.72296399052078,35602378,4181018,6994,1,10,16,23,22.996711937097928,18632255,2117649,2499,2,10,17,23,22.9908,50637644,4630922,8500,3,10,18,23,22.487942594988827,18000
コールオブデューティーブラックオプス4,289,40263,48,5,10,13,11,8.795918367346939,53,14090,34,6,10,14,1,9.971428571428572,72,40308,29,0,10,15,9,10.233333333333333,70,44354,23,1,10,16,13,9.458333333333334,181,55644,29,2,10,17,8,11.7,48,18766,21,3,10,18,23,12.5,16
위키미키,529452,723901,1366,5,10,13,18,20.514996342355523,343168,518944,879,6,10,14,22,21.297727272727272,224279,324257,696,0,10,15,22,21.263988522238165,258092,260241,588,1,10,16,22,22.224108658743635,579369,572647,1099,2,10,17,23,21.76181818181818,423214,1126947,1592,3,10,18,23,22.39610797237916,398
تصحيح_نظر,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
황민현,1575294,188686,698,5,10,13,23,22.967095851216023,11239659,1722332,5394,6,10,14,23,22.235217794253938,1129548,279140,899,0,10,15,23,22.974444444444444,120707,14121,91,1,10,16,23,22.75,102116,15547,90,2,10,17,23,22.747252747252748,5596351,765467,2700,3,10,18,23,22.593483894853758,998
太陽王時のお告げbot,0,492,4,5,10,13,0,5.4,0,492,4,6,10,14,0,5.4,0,492,4,0,10,15,0,5.4,0,492,4,1,10,16,0,5.4,0,492,4,2,10,17,0,5.4,0,492,4,3,10,18,0,5.4,4
NewG3,3,4062,6,5,10,13,0,7.714285714285714,0,967,1,6,10,14,0,0.0,381,1191,3,0,10,15,0,6.75,23,1584,3,1,10,16,0,0.5,56,11198,15,2,10,17,3,3.5625,98,11072,17,3,10,18,14,9.722222222222221,20
คําคมภาษาอังกฤษ,30914,4033,99,5,10,13,19,20.4,161635,35949,595,6,10,14,16,17.18288590604027,172012,30577,585,0,10,15,16,17.97098976109215,25069,15731,95,1,10,16,19,20.322916666666668,113424,48253,398,2,10,17,17,18.293233082706767,121036,33833,590,3,10,18,17,17.949238578680202,496
strapon,34,4442,4,5,10,13,23,18.2,19,14241,4,6,10,14,23,18.4,4,11751,2,0,10,15,23,15.333333333333334,47,7303,6,1,10,16,23,19.571428571428573,45,155864,12,2,10,17,22,20.615384615384617,11,36844,4,3,10,18,22,17.8,5
Florida,266130,7581865,399,5,10,13,23,22.9425,98910,376549,96,6,10,14,23,22.762886597938145,79761,4228032,97,0,10,15,23,22.76530612244898,4309205,16938749,2696,1,10,16,22,22.475713756025215,381807,3474881,587,2,10,17,23,22.94047619047619,1465455,26568804,1898,3,10,18,22,22.103212216956294,197
チキンマックナゲット,365999,2759529,182,5,10,13,2,4.868852459016393,365026,10262,23,6,10,14,13,9.416666666666666,586259,2731132,182,0,10,15,1,5.371584699453552,194025,9632,22,1,10,16,23,11.73913043478261,123784,12138,13,2,10,17,11,10.142857142857142,245123,1885,10,3,10,18,5,6.818181818181818,9
JIWON,154800,562480,861,5,10,13,14,15.802784222737818,30102,99313,197,6,10,14,16,19.02020202020202,19549,60583,94,0,10,15,22,21.157894736842106,16008,66706,89,1,10,16,17,17.677777777777777,220277,309312,399,2,10,17,23,17.46,925760,523596,1099,3,10,18,2,7.1909090909090905,88
まさかの泣ける2時間スペシャル,29176,245074,141,5,10,13,11,11.52112676056338,6293,18455,65,6,10,14,9,10.469696969696969,4683,13868,42,0,10,15,10,10.534883720930232,181468,99958,369,1,10,16,6,9.327027027027027,13847,32768,57,2,10,17,13,11.137931034482758,22826,236427,133,3,10,18,12,12.567164179104477,47
photographer,548,748801,190,5,10,13,23,22.455497382198953,5762,3654685,295,6,10,14,23,22.466216216216218,4069,563443,195,0,10,15,23,22.698979591836736,2940,1564059,300,1,10,16,23,22.20265780730897,9213,1725193,397,2,10,17,22,22.007537688442213,218970,2527697,597,3,10,18,23,21.903010033444815,399
bitcoin,81271,504002,83,5,10,13,23,22.726190476190474,57908,478409,80,6,10,14,23,22.71604938271605,22483,941881,81,0,10,15,23,22.71951219512195,27881,444842,91,1,10,16,23,22.75,8914,502995,94,2,10,17,23,22.757894736842104,22321,453458,85,3,10,18,23,22.732558139534884,95
華金,1713951,85463,376,5,10,13,1,7.596816976127321,564465,41724,134,6,10,14,14,9.57037037037037,328118,15609,95,0,10,15,12,10.34375,148859,6634,49,1,10,16,3,9.88,126635,27679,54,2,10,17,2,8.145454545454545,198543,747795,1255,3,10,18,23,22.563694267515924,1069
tvN,18376432,4362535,4199,5,10,13,10,13.222380952380952,321701,46284,99,6,10,14,23,22.77,70763063,8306344,8300,0,10,15,22,18.35851102276834,40418426,6396751,5499,1,10,16,22,21.800545454545453,66449181,8078577,12500,2,10,17,12,13.138788896888249,12755281,4684717,2896,3,10,18,23,20.415947531929582,4697
crypto,14233,616473,88,5,10,13,23,22.741573033707866,18977,397086,64,6,10,14,23,22.646153846153847,36403,652592,85,0,10,15,23,22.732558139534884,55325,510925,92,1,10,16,23,22.752688172043012,55624,832067,193,2,10,17,23,22.88144329896907,186383,1384646,288,3,10,18,23,22.920415224913494,87
三浦翔平,3072,52350,53,5,10,13,0,9.833333333333334,190,298207,29,6,10,14,13,10.6,17221,134834,157,0,10,15,10,11.044303797468354,1544,83457,53,1,10,16,14,10.148148148148149,751,551776,66,2,10,17,11,10.671641791044776,1953,362544,91,3,10,18,12,13.152173913043478,87
ชื่อเยอะอะไรขนาดนี้,1915914,23780,91,5,10,13,15,16.891304347826086,1852752,15878,88,6,10,14,9,12.44943820224719,1389564,7609,66,0,10,15,4,8.432835820895523,631620,877,30,1,10,16,12,9.838709677419354,631620,8995,30,2,10,17,13,10.741935483870968,463188,13236,22,3,10,18,6,8.08695652173913,20
イーサリアム,1292,194492,75,5,10,13,23,21.86842105263158,12,170503,72,6,10,14,20,20.643835616438356,872,268413,82,0,10,15,23,21.542168674698797,317,176938,76,1,10,16,23,21.064935064935064,4,148228,66,2,10,17,22,20.850746268656717,9,160666,68,3,10,18,23,20.782608695652176,75
CompartimosLaEmocion,44259,34782038,219,5,10,13,2,10.85909090909091,3990,24417432,87,6,10,14,16,14.886363636363637,6672,37026926,140,0,10,15,22,13.382978723404255,2762,31857688,92,1,10,16,23,18.580645161290324,4385,109123333,1750,2,10,17,2,3.227869788692176,2730,99139750,234,3,10,18,5,10.914893617021276,84
TheMaleTvStar,87542,55338,78,5,10,13,23,22.70886075949367,366798,293564,775,6,10,14,23,22.521907216494846,68238,25329,82,0,10,15,23,22.72289156626506,395684,245391,597,1,10,16,23,22.640468227424748,54146,103276,85,2,10,17,23,22.732558139534884,279030,143157,498,3,10,18,23,22.95390781563126,193
الخرمه,1069,7746,11,5,10,13,0,10.916666666666666,1005,9026,9,6,10,14,0,10.7,1946,477457,14,0,10,15,4,8.133333333333333,310,87572,26,1,10,16,12,12.25925925925926,115,21893,15,2,10,17,20,16.5625,10,12609,7,3,10,18,0,11.375,8
TheWalkingDead,352385,5470653,697,5,10,13,21,21.517191977077363,209591,6229366,500,6,10,14,23,22.562874251497007,398651,46999857,3899,0,10,15,20,19.87974358974359,375222,8102970,991,1,10,16,20,20.829637096774192,499782,12617068,1997,2,10,17,16,17.27127127127127,6261,1659060,95,3,10,18,23,22.760416666666668,589
vidalrespuestaya,13788,285206,131,5,10,13,0,10.106060606060606,4607,48518,29,6,10,14,0,7.933333333333334,1306,9435,20,0,10,15,22,12.523809523809524,715,5483,13,1,10,16,15,9.714285714285714,579,668,7,2,10,17,16,13.75,1730,199223,113,3,10,18,16,16.31578947368421,23
RRBC,2820,1510014,98,5,10,13,23,22.767676767676768,11544,4231459,181,6,10,14,23,22.873626373626372,1794,2048542,90,0,10,15,23,22.747252747252748,17910,11400395,495,1,10,16,22,22.375,18408,15787328,587,2,10,17,23,22.404761904761905,1858,2439621,94,3,10,18,23,22.757894736842104,493
犬,4285,94300,68,5,10,13,23,22.666666666666668,7686,117652,71,6,10,14,23,22.680555555555557,4230,118161,55,0,10,15,23,22.589285714285715,175477,109893,76,1,10,16,23,22.7012987012987,1689010,145085,199,2,10,17,23,22.885,1097527,202681,198,3,10,18,23,22.884422110552762,92
ゆにアート,24137,75303,69,5,10,13,11,15.342857142857143,14187,36524,84,6,10,14,11,9.211764705882352,2616,13303,44,0,10,15,3,8.0,10470,42319,96,1,10,16,9,10.175257731958762,1407,17052,34,2,10,17,14,9.82857142857143,1874,24443,63,3,10,18,22,14.953125,67
Najda,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,386,12616,19,0,10,15,20,18.65,230,18872,18,1,10,16,17,13.105263157894736,24,1018,2,2,10,17,0,9.666666666666666,0,0,0,0,0,0,0,0.0,1
