hashtag,day_0_retweets,day_0_followers,day_0_occurences,day_0_weekday,day_0_month,day_0_day,day_0_modehour,day_0_avghour,day_1_retweets,day_1_followers,day_1_occurences,day_1_weekday,day_1_month,day_1_day,day_1_modehour,day_1_avghour,day_2_retweets,day_2_followers,day_2_occurences,day_2_weekday,day_2_month,day_2_day,day_2_modehour,day_2_avghour,day_3_retweets,day_3_followers,day_3_occurences,day_3_weekday,day_3_month,day_3_day,day_3_modehour,day_3_avghour,day_4_retweets,day_4_followers,day_4_occurences,day_4_weekday,day_4_month,day_4_day,day_4_modehour,day_4_avghour,day_5_retweets,day_5_followers,day_5_occurences,day_5_weekday,day_5_month,day_5_day,day_5_modehour,day_5_avghour,ids
PaulaEBrenoNoGaruaLounge,352,2207,10,5,10,13,2,3.3636363636363638,103,2156,2,6,10,14,11,7.333333333333333,118,13146,2,0,10,15,23,15.333333333333334,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
教育,102065,211134,93,5,10,13,23,20.595744680851062,657,189866,90,6,10,14,23,20.67032967032967,25811,572422,97,0,10,15,23,21.040816326530614,3198,158560,87,1,10,16,23,21.670454545454547,3814,249001,93,2,10,17,22,21.73404255319149,195368,2725791,698,3,10,18,22,15.174535050071531,97
seo,661,713585,78,5,10,13,23,22.70886075949367,1295,254305,80,6,10,14,23,22.71604938271605,909,619934,85,0,10,15,23,22.732558139534884,4042,797485,75,1,10,16,23,22.69736842105263,276,451082,80,2,10,17,23,22.71604938271605,627,760171,71,3,10,18,23,22.680555555555557,72
هم_نوايا,115,369566,76,5,10,13,20,19.181818181818183,241,2180815,142,6,10,14,20,18.055944055944057,231,972299,124,0,10,15,20,16.784,161,385503,97,1,10,16,20,20.632653061224488,221,1438246,202,2,10,17,20,18.7192118226601,95,516403,39,3,10,18,0,10.7,23
RisingGain,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
obento,399,204356,42,5,10,13,3,9.55813953488372,758,334373,90,6,10,14,23,17.89010989010989,625,553862,101,0,10,15,22,12.666666666666666,916,580099,121,1,10,16,22,11.868852459016393,591,318538,108,2,10,17,22,13.587155963302752,579,473971,111,3,10,18,22,13.464285714285714,79
フンボルトペンギン,18632,48675,95,5,10,13,13,13.885416666666666,8660,54957,98,6,10,14,8,11.737373737373737,4004,46463,98,0,10,15,12,15.070707070707071,2585,37145,86,1,10,16,13,14.574712643678161,7877,79491,144,2,10,17,11,12.427586206896551,4178,93888,91,3,10,18,10,12.108695652173912,77
parkjihoon,6115230,1078862,2995,5,10,13,23,22.002336448598133,629422,95095,499,6,10,14,23,22.954,145593,19575,99,0,10,15,23,22.77,1648171,454265,1798,1,10,16,23,22.112284602556976,311206,116706,396,2,10,17,23,22.94206549118388,1198775,573120,1134,3,10,18,23,22.22114537444934,91
速水さんと一緒,1323,1552,3,5,10,13,0,8.5,0,0,0,0,0,0,0,0.0,5226,1398,2,0,10,15,0,5.666666666666667,0,0,0,0,0,0,0,0.0,11259,1500,3,2,10,17,3,2.5,0,0,0,0,0,0,0,0.0,1
住民訴訟,4392106,690067,680,5,10,13,0,6.3861967694566815,479803,173862,90,6,10,14,0,7.8901098901098905,217267,53146,38,0,10,15,11,7.769230769230769,122112,24172,23,1,10,16,0,5.875,59228,9146,15,2,10,17,14,11.875,31162,23141,10,3,10,18,6,9.727272727272727,1524
장수현,7981,10408,17,5,10,13,0,4.833333333333333,1114,699,2,6,10,14,0,5.333333333333333,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,47,1,3,10,18,0,7.5,0
雰囲気嫌いじゃないって人RT,3198,22883,82,5,10,13,22,21.048192771084338,12297,59378,98,6,10,14,22,21.393939393939394,8422,35200,91,0,10,15,22,21.858695652173914,4217,115792,94,1,10,16,22,20.894736842105264,3955,55898,86,2,10,17,23,21.67816091954023,3368,36324,95,3,10,18,22,21.052083333333332,90
昭和元禄落語心中,4429882,2877645,3326,5,10,13,0,7.3844304177938085,1149915,771992,904,6,10,14,7,8.740331491712707,428503,823844,674,0,10,15,11,10.171851851851851,527329,4105714,1133,1,10,16,8,12.244268077601411,73113,165390,300,2,10,17,14,9.498338870431894,17543,444451,205,3,10,18,12,13.077669902912621,6700
AgustD,17367007,3027525,3100,5,10,13,22,15.584327636246373,5167339,521191,1097,6,10,14,17,19.317850637522767,15004097,1809230,3399,0,10,15,14,16.520294117647058,317568,64751,94,1,10,16,23,22.757894736842104,501023,45850,96,2,10,17,23,22.762886597938145,1294480,106920,197,3,10,18,23,22.72222222222222,391
Swertres,0,26114,17,5,10,13,8,8.333333333333334,0,19498,13,6,10,14,9,8.642857142857142,0,29860,18,0,10,15,13,6.842105263157895,1,31369,19,1,10,16,0,5.4,0,38599,26,2,10,17,3,7.7407407407407405,0,39836,26,3,10,18,3,6.777777777777778,20
ALCSBOUND,5782,5696,7,5,10,13,0,4.625,2134,166,1,6,10,14,0,1.0,2520,2801,3,0,10,15,0,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4
iartg,1291,2045236,69,5,10,13,23,22.67142857142857,8070,1656853,97,6,10,14,23,22.76530612244898,2186,1398367,80,0,10,15,23,22.71604938271605,9175,7005661,291,1,10,16,23,22.921232876712327,5084,2996825,99,2,10,17,23,22.77,3796,2529248,88,3,10,18,23,22.741573033707866,92
호비,375133887,3184943,3900,5,10,13,21,12.93745193540118,119735578,2718223,3200,6,10,14,12,14.836301155888785,32793135,587850,696,0,10,15,18,20.077474892395983,236978174,2186840,2677,1,10,16,21,12.800597460791636,17973540,1746867,1799,2,10,17,23,22.320555555555554,93046713,2487265,3265,3,10,18,18,17.988364972443357,3793
Kinktober2018,2018,21920,51,5,10,13,12,13.846153846153847,1154,19445,53,6,10,14,21,17.555555555555557,938,20421,44,0,10,15,20,14.777777777777779,11298,21489,74,1,10,16,22,21.266666666666666,5724,46905,62,2,10,17,23,13.285714285714286,2775,17778,41,3,10,18,23,15.714285714285714,63
형원,131377370,3600135,5000,5,10,13,16,18.504699060187964,420600886,12838794,18000,6,10,14,13,15.166324093105938,20763908,1496485,2796,0,10,15,15,16.99892742223811,913476,40621,92,1,10,16,23,22.752688172043012,1937658,260878,392,2,10,17,23,22.0941475826972,13687593,3139599,5355,3,10,18,10,11.455190440627334,891
三浦海里,34094,13690,36,5,10,13,0,6.081081081081081,7413,6483,9,6,10,14,0,4.3,7741,12453,11,0,10,15,3,7.416666666666667,1283,38,1,1,10,16,0,11.0,0,0,0,0,0,0,0,0.0,940,469,2,3,10,18,0,0.0,289
PosterDesign,127,43432,56,5,10,13,15,14.140350877192983,5,66027,16,6,10,14,17,18.41176470588235,29,122647,27,0,10,15,18,17.535714285714285,117,48964,48,1,10,16,21,18.163265306122447,442,506356,104,2,10,17,10,12.18095238095238,326,584100,115,3,10,18,19,12.612068965517242,96
ShinGodzilla,486,30942,28,5,10,13,9,10.655172413793103,367,13191,11,6,10,14,15,11.083333333333334,34,113,2,0,10,15,0,4.333333333333333,6,9658,6,1,10,16,0,6.285714285714286,7,5536,6,2,10,17,5,5.285714285714286,25,10091,8,3,10,18,6,8.777777777777779,9
HobbsAndShaw,86078,4316374,166,5,10,13,6,7.754491017964072,12598,107226,45,6,10,14,0,10.91304347826087,5059,309081,15,0,10,15,2,9.125,4500,20670,16,1,10,16,7,10.235294117647058,2957,1731644,49,2,10,17,17,15.94,3084,2523696,34,3,10,18,12,10.885714285714286,5
ViernesDeGanarSeguidores,647,30474,11,5,10,13,22,20.5,271,24903,12,6,10,14,22,19.076923076923077,43,10321,8,0,10,15,22,18.11111111111111,32,135554,23,1,10,16,18,17.208333333333332,45,12437,8,2,10,17,16,17.11111111111111,415,31445,20,3,10,18,23,19.523809523809526,60
ยืมเมจfosrex,17209,44180,64,5,10,13,23,22.646153846153847,25021,38961,92,6,10,14,23,22.752688172043012,26477,47581,93,0,10,15,23,22.75531914893617,24361,29111,76,1,10,16,23,22.7012987012987,23344,40983,77,2,10,17,23,22.705128205128204,34628,29074,94,3,10,18,23,22.757894736842104,89
LAY,3582932,425320,599,5,10,13,23,22.523333333333333,11462699,1007820,1798,6,10,14,23,21.518065591995555,2386235,286476,586,0,10,15,23,22.567291311754683,24961552,248988,700,1,10,16,23,22.96718972895863,74304019,1381923,2392,2,10,17,23,21.521103217718345,306900108,5065830,7699,3,10,18,17,19.641038961038962,7900
เงี่ยน2018,529,10366,50,5,10,13,9,13.098039215686274,466,14168,51,6,10,14,15,14.538461538461538,381,9604,50,0,10,15,7,11.313725490196079,556,8428,59,1,10,16,10,12.55,275,8982,50,2,10,17,23,15.745098039215685,175,10434,29,3,10,18,15,15.266666666666667,36
knk,119568,428079,850,5,10,13,15,12.372502937720329,58384,474908,974,6,10,14,14,10.546666666666667,27913,111218,297,0,10,15,14,15.11744966442953,88804,383007,748,1,10,16,13,11.016021361815755,28779,278042,530,2,10,17,15,11.721280602636535,29508,215761,472,3,10,18,12,11.748414376321353,589
تميم,19757,494856,77,5,10,13,23,22.41025641025641,25872,41925,39,6,10,14,23,22.425,11403,22531,45,0,10,15,23,22.32608695652174,8403,407819,42,1,10,16,23,22.0,8353,195452,63,2,10,17,22,21.671875,97321,251261,84,3,10,18,23,22.729411764705883,79
ARAGUA,8265,3704762,78,5,10,13,23,22.70886075949367,68546,20217501,799,6,10,14,22,20.65,196723,16048989,699,0,10,15,23,22.498571428571427,80653,35544390,899,1,10,16,19,20.31111111111111,61582,4806545,293,2,10,17,23,22.70408163265306,85911,16387791,694,3,10,18,20,21.371223021582733,97
에릭,792479,900684,2997,5,10,13,15,17.213142094729818,647488,1150372,4182,6,10,14,14,14.508247669136983,558099,466533,1100,0,10,15,23,21.090826521344233,1118630,1090342,3743,1,10,16,14,8.623931623931623,426123,704284,2525,2,10,17,15,10.986935866983373,511853,1090625,2626,3,10,18,3,9.139703083365054,2289
cookies,75661,1295187,298,5,10,13,16,18.39799331103679,10902616,8706434,4274,6,10,14,4,8.269473684210526,476741,4964273,797,0,10,15,11,15.464912280701755,2381987,2557642,1200,1,10,16,14,17.02248126561199,278209,2169852,788,2,10,17,21,18.660329531051964,23792649,25006020,14531,3,10,18,9,11.840971648775117,2600
Ganga,444308,7482911,1566,5,10,13,6,7.949585194639439,144176,10963869,861,6,10,14,5,8.904872389791183,73672,1552379,617,0,10,15,6,8.241100323624595,14938,429182,98,1,10,16,13,14.02020202020202,27510,718923,222,2,10,17,6,10.713004484304932,333143,4180642,962,3,10,18,17,11.615784008307372,481
WeAreXFilm,3108,74721,185,5,10,13,6,10.456989247311828,3859,110638,216,6,10,14,8,10.129032258064516,3263,88508,187,0,10,15,2,10.920212765957446,3905,78228,230,1,10,16,23,12.675324675324676,507651,1056545,821,2,10,17,9,11.506082725060827,74449,248946,216,3,10,18,6,8.460829493087557,208
tangled,378,68563,45,5,10,13,4,11.08695652173913,330,60283,63,6,10,14,3,8.75,1297,596167,71,0,10,15,14,12.916666666666666,530,141884,52,1,10,16,9,10.20754716981132,81,8975,21,2,10,17,5,9.090909090909092,3378,72649,80,3,10,18,5,10.308641975308642,42
SajidKhan,114070,23563138,695,5,10,13,13,15.333333333333334,18453,1707992,199,6,10,14,14,16.13,174847,451812,198,0,10,15,18,19.271356783919597,293954,37706481,589,1,10,16,5,7.388135593220339,4027,104441,58,2,10,17,17,16.88135593220339,3540,1970556,88,3,10,18,8,12.03370786516854,61
nuksusa,11799,610989,458,5,10,13,1,6.333333333333333,16119,314153,280,6,10,14,4,7.2064056939501775,5839,512916,327,0,10,15,2,7.463414634146342,6077,380747,353,1,10,16,3,10.494350282485875,3541,329260,210,2,10,17,1,8.824644549763033,5267,447390,197,3,10,18,5,13.595959595959595,189
DareToAchieve,15643,1597267,388,5,10,13,22,14.15681233933162,6286,922832,259,6,10,14,1,9.607692307692307,24943,1439988,371,0,10,15,14,13.46236559139785,2736,131757,98,1,10,16,22,17.494949494949495,6520,664982,244,2,10,17,21,14.70204081632653,529,432959,48,3,10,18,22,21.428571428571427,58
